14
-1000	0.001
-999	0.001
-742.7	0.266
-42.7	0.9639
-11.1	0.9943
0	    1
3.3	    1.002
18.5	1.025
27.6	1.04
95.8	1.1074
272.8	1.194
1337.1	1.9
2500	2.77
3071	4.51
10000   7.83
